epoch,train_error,validation_error
1,103.91540044081282,39.99824613719233
2,77.7691802039748,39.01333919986495
3,63.56397691014631,38.53337564746656
4,56.950596893600284,38.10641566166097
5,51.31911482946022,37.71559687884982
6,48.014558309510036,37.41848142750252
7,46.047298340189016,37.315010670584634
8,44.76535198918462,37.34772692053844
9,43.46108215901324,37.44303142574879
10,42.589357222681755,37.56310486542463
11,41.70794951161882,37.630491423011556
12,40.97912145746215,37.64152645703858
13,40.51216198375312,37.53449945640866
14,39.97726936621416,37.38462984468963
15,39.50553512075952,37.23635031265824
16,39.240620829982596,37.116059918906444
17,38.96585428917619,37.05790782926669
18,38.85117618848021,37.098328416970645
19,38.57687253889965,37.08704953312316
20,38.41958476385731,37.134199391059404
21,38.189610579645084,37.092950050716134
22,38.00688585348961,37.03727236057068
23,37.800895175305364,36.898648258351834
24,37.62293545962065,36.77521579957707
25,37.4460964984638,36.67797884039588
26,37.356129803424345,36.59711841514953
27,37.25297617651944,36.5857758766934
28,37.12827506387792,36.57380320530404
29,37.01097759421664,36.545791848291785
30,36.91943396158538,36.46149046173842
31,36.715871352672934,36.34689363625523
32,36.598734417751274,36.21639943293468
33,36.45893028654252,36.10827651762271
34,36.30594018447363,36.00411323697909
35,36.19359253542903,35.915497507250464
36,35.997776299561295,35.78652662296893
37,35.809643601909606,35.645213236085645
38,35.70070600268158,35.466726614414846
39,35.39898896976384,35.300987673632754
40,35.24339729417136,35.138151273410166
41,35.00180482399,34.9538184181823
42,34.7512500482475,34.78522096517217
43,34.4853941814903,34.50677529427812
44,34.13922011695789,34.22861115514031
45,33.87695946571705,33.8997515928029
46,33.613212465468095,33.604730131973625
47,33.32617410029588,33.4261760847325
48,33.07186578803115,33.248425709798916
49,32.88167025986171,33.09427280389192
50,32.64703712669744,32.91103268606272
51,32.56709269676253,32.65704842788878
52,32.44038522157713,32.38795944264697
53,32.37648062367861,32.297249489204496
54,32.3991996617024,32.18933784351941
55,32.30957562751493,32.192020569980876
56,32.330618904266686,32.289785298540245
57,32.25761202607228,32.26077454797015
58,32.20829803397791,32.18152752801424
59,32.167080896578696,32.10090955418906
60,32.13969647565051,32.066551717016914
61,32.10271135466649,32.12992101163919
62,32.07882765287709,32.17158819271993
63,32.04142199436125,32.26210070941269
64,32.03796546479951,32.24395776167123
65,32.02578881738672,32.218719728829505
66,31.956887851266323,32.17329366615735
67,31.955910417831294,32.128302016411205
68,31.899033550915284,32.18123073207631
69,31.894807433856553,32.20728909028725
70,31.869784057314106,32.18236994347069
71,31.827209620101847,32.14375243384638
72,31.80293201122982,32.045663133166215
73,31.739873923379562,31.963136551820735
74,31.71812583149072,31.974803351781286
75,31.70986513922629,31.99974852663791
76,31.695775386136823,32.00447905137786
77,31.664748225044853,31.919762877605855
78,31.613152639293236,31.89589627852091
79,31.63525308869177,31.843554640880498
80,31.58339226046266,31.858613240557478
81,31.544955692000055,31.896096347463402
82,31.57286463945097,31.91324754128825
83,31.566134139541383,31.881077801640533
84,31.504281097502766,31.822632147227928
85,31.484269253528943,31.80280149799182
86,31.498741453557916,31.788961953176635
87,31.453080928913963,31.822677316718867
88,31.40765076746758,31.837711642325008
89,31.421620596539952,31.74374155166974
90,31.40894055175508,31.711135349490412
91,31.377251917430605,31.729968058861814
92,31.35665373090334,31.780880446727135
93,31.314937372082348,31.85604293147805
94,31.28044760806163,31.732110887901886
95,31.269771045452526,31.677405218005475
96,31.28080461254745,31.587809100386888
97,31.201813589839958,31.63657071771588
98,31.187025747904624,31.706277969524173
99,31.1524738861471,31.724008835700825
100,31.18088146360681,31.630588561360945
